idx,x,y,line,s_mm,pmod,w,d,asym
2,0.5,0.0,0,0.5,1.5,9.71162033081055e-05,9.711620330810547e-05,1.0842021724855044e-19
3,1.0,0.0,0,1.0,1.5,9.749843597412112e-05,9.74984359741211e-05,1.0842021724855044e-19
5,0.5,0.15,1,1.5,1.5,0.00011404369354248045,0.00011007709503173827,1.9747619628906262e-05
6,0.0,0.15,1,2.0,1.5,0.00011149438858032226,0.00010916641235351562,1.2920112609863361e-05
8,0.5,0.3,2,2.5,1.5,0.00012043310165405275,0.00011461207389831541,-2.793842315673825e-05
9,1.0,0.3,2,3.0,1.5,0.00012178174972534182,0.00011619763374328613,-2.6856193542480343e-05
11,0.5,0.45,3,3.5,1.5,0.00012416303634643554,0.00011678356170654296,3.330661773681649e-05
12,0.0,0.45,3,4.0,1.5,0.00012813215255737308,0.00011977368354797361,3.643558502197273e-05
14,0.5,0.6,4,4.5,1.5,0.00012633316040039065,0.00011785637855529784,-3.659500122070301e-05
15,1.0,0.6,4,5.0,1.5,0.00013187366485595703,0.00012196079254150389,-4.217979431152339e-05
17,0.5,0.75,5,5.5,1.5,0.0001275718879699707,0.00011847576141357422,3.8511009216308676e-05
18,0.0,0.75,5,6.0,1.5,0.0001341258239746094,0.0001231741237640381,4.573318481445324e-05
20,0.5,0.9,6,6.5,1.5,0.00012827463150024416,0.00011883213996887205,-3.9595603942871045e-05
21,1.0,0.9,6,7.0,1.5,0.00013542716979980473,0.00012386199951171874,-4.780326843261708e-05
