idx,x,y,line,s_mm,pmod,sigma,w,d,asym
2,0.5,0.0,0,0.5,1.5,1e-05,9.71162033081055e-05,9.711620330810547e-05,1.0842021724855044e-19
3,1.0,0.0,0,1.0,1.5,1e-05,9.749843597412112e-05,9.74984359741211e-05,1.0842021724855044e-19
5,0.5,0.15,1,1.5,1.076927007787297,9.896343921323303e-06,9.913415908813477e-05,9.580102920532226e-05,1.8535118103027437e-05
6,0.0,0.15,1,2.0,1.1917525463019625,9.99126215209761e-06,9.78894805908203e-05,9.652625083923338e-05,9.053344726562532e-06
8,0.5,0.3,2,2.5,1.0408519054118441,9.825003742082805e-06,9.921781539916992e-05,9.572582244873047e-05,-1.9660682678222666e-05
9,1.0,0.3,2,3.0,1.1425493839077845,9.934272247984061e-06,9.857187271118163e-05,9.641647338867187e-05,-1.2579689025878863e-05
11,0.5,0.45,3,3.5,1.026494006691439,9.7650588138477e-06,9.930820465087892e-05,9.562276840209961e-05,2.0457611083984396e-05
12,0.0,0.45,3,4.0,1.1181995505641855,9.886096818887622e-06,9.872022628784182e-05,9.625682830810545e-05,1.3980598449707133e-05
14,0.5,0.6,4,4.5,1.0199640225254916,9.704436108692013e-06,9.933704376220703e-05,9.558717727661131e-05,-2.075775146484374e-05
15,1.0,0.6,4,5.0,1.108249813799959,9.852642598244098e-06,9.879285812377931e-05,9.617670059204101e-05,-1.4645423889160134e-05
17,0.5,0.75,5,5.5,1.0171941603062415,9.643575649210849e-06,9.935226440429689e-05,9.556756019592284e-05,2.0907287597656324e-05
18,0.0,0.75,5,6.0,1.1029759069216787,9.801246252143017e-06,9.882875442504882e-05,9.613692283630371e-05,1.497653961181648e-05
20,0.5,0.9,6,6.5,1.0171941603062415,9.643575649210849e-06,9.943424224853517e-05,9.562908172607422e-05,-2.1005783081054583e-05
21,1.0,0.9,6,7.0,1.1003486357502017,9.766572237539728e-06,9.885038375854492e-05,9.611565589904785e-05,-1.5159339904785086e-05
