idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
2,0.25,0.0,0,0.25,1.0,0.0002,0.00016205016374588015,3.9212837219238276e-05,-2.3841857849961345e-11,
3,0.5,0.0,0,0.5,1.0,0.0002,0.00016384197473526,5.404905319213865e-05,-2.3841857904171454e-11,
4,0.75,0.0,0,0.75,1.0,0.0002,0.00016384197473526,6.0634994506835935e-05,-2.3841857904171454e-11,
5,1.0,0.0,0,1.0,1.0,0.0002,0.00016384197473526,6.304944992065428e-05,-2.3841857904171454e-11,
6,1.25,0.0,0,1.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
7,1.5,0.0,0,1.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
8,1.75,0.0,0,1.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
9,2.0,0.0,0,2.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
10,2.25,0.0,0,2.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
11,2.5,0.0,0,2.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
12,2.75,0.0,0,2.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
13,3.0,0.0,0,3.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
14,3.25,0.0,0,3.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
15,3.5,0.0,0,3.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
16,3.75,0.0,0,3.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
17,4.0,0.0,0,4.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
18,4.25,0.0,0,4.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
19,4.5,0.0,0,4.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
20,4.75,0.0,0,4.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
21,5.0,0.0,0,5.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
22,5.25,0.0,0,5.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
23,5.5,0.0,0,5.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
24,5.75,0.0,0,5.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
25,6.0,0.0,0,6.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
26,6.25,0.0,0,6.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
27,6.5,0.0,0,6.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
28,6.75,0.0,0,6.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
29,7.0,0.0,0,7.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
30,7.25,0.0,0,7.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
31,7.5,0.0,0,7.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
32,7.75,0.0,0,7.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
33,8.0,0.0,0,8.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
34,8.25,0.0,0,8.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
35,8.5,0.0,0,8.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
36,8.75,0.0,0,8.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
37,9.0,0.0,0,9.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
38,9.25,0.0,0,9.25,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
39,9.5,0.0,0,9.5,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
40,9.75,0.0,0,9.75,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
41,10.0,0.0,0,10.0,1.0,0.0002,0.00016384197473526,6.333677291870117e-05,-2.3841857904171454e-11,
