idx,x,y,line,s_mm,pmod,sigma,vel,w,d
2,0.25,0.0,0,0.25,1.0,0.0002,2.2892648968967397,0.0001708767414093018,4.67585754394531e-05
3,0.5,0.0,0,0.5,1.0,0.0002,3.974199721787561,0.0001547002673149109,5.842300415039061e-05
4,0.75,0.0,0,0.75,1.0,0.0002,3.576562204322302,0.0001572908878326416,6.572875976562498e-05
5,1.0,0.0,0,1.0,1.0,0.0002,3.0001450686667517,0.0001635566353797913,6.916276931762694e-05
6,1.25,0.0,0,1.25,1.0,0.0002,2.9643738737701306,0.00016423387527465824,6.836975097656249e-05
7,1.5,0.0,0,1.5,1.0,0.0002,3.0009503259835912,0.00016385306119918823,6.436506271362304e-05
8,1.75,0.0,0,1.75,1.0,0.0002,3.0005077276433814,0.0001638361930847168,6.352123260498045e-05
9,2.0,0.0,0,2.0,1.0,0.0002,2.999639720403895,0.00016384607553482058,6.373130798339842e-05
10,2.25,0.0,0,2.25,1.0,0.0002,3.0001254479974895,0.00016384077072143551,6.33411979675293e-05
11,2.5,0.0,0,2.5,1.0,0.0002,2.999993541846555,0.00016384197473526,6.333234786987303e-05
12,2.75,0.0,0,2.75,1.0,0.0002,3.0000253847275613,0.00016384197473526,6.334020614624021e-05
13,3.0,0.0,0,3.0,1.0,0.0002,3.0000024006795467,0.00016384197473526,6.33353042602539e-05
14,3.25,0.0,0,3.25,1.0,0.0002,3.0000192049427414,0.00016384197473526,6.333677291870117e-05
15,3.5,0.0,0,3.5,1.0,0.0002,3.000002145362949,0.00016384197473526,6.333677291870117e-05
16,3.75,0.0,0,3.75,1.0,0.0002,2.999997575560209,0.00016384197473526,6.333677291870117e-05
17,4.0,0.0,0,4.0,1.0,0.0002,3.0000008100266693,0.00016384197473526,6.333677291870117e-05
18,4.25,0.0,0,4.25,1.0,0.0002,2.999999877934061,0.00016384197473526,6.333677291870117e-05
19,4.5,0.0,0,4.5,1.0,0.0002,2.999999973934588,0.00016384197473526,6.333677291870117e-05
20,4.75,0.0,0,4.75,1.0,0.0002,3.0000000280405943,0.00016384197473526,6.333677291870117e-05
21,5.0,0.0,0,5.0,1.0,0.0002,2.9999999870093372,0.00016384197473526,6.333677291870117e-05
22,5.25,0.0,0,5.25,1.0,0.0002,3.0000000044325934,0.00016384197473526,6.333677291870117e-05
23,5.5,0.0,0,5.5,1.0,0.0002,2.9999999988106465,0.00016384197473526,6.333677291870117e-05
24,5.75,0.0,0,5.75,1.0,0.0002,3.0000000002302967,0.00016384197473526,6.333677291870117e-05
25,6.0,0.0,0,6.0,1.0,0.0002,2.999999999987519,0.00016384197473526,6.333677291870117e-05
26,6.25,0.0,0,6.25,1.0,0.0002,2.9999999999840647,0.00016384197473526,6.333677291870117e-05
27,6.5,0.0,0,6.5,1.0,0.0002,3.00000000001054,0.00016384197473526,6.333677291870117e-05
28,6.75,0.0,0,6.75,1.0,0.0002,2.9999999999954157,0.00016384197473526,6.333677291870117e-05
29,7.0,0.0,0,7.0,1.0,0.0002,3.00000000000165,0.00016384197473526,6.333677291870117e-05
30,7.25,0.0,0,7.25,1.0,0.0002,2.9999999999994786,0.00016384197473526,6.333677291870117e-05
31,7.5,0.0,0,7.5,1.0,0.0002,3.0000000000001457,0.00016384197473526,6.333677291870117e-05
32,7.75,0.0,0,7.75,1.0,0.0002,2.9999999999999636,0.00016384197473526,6.333677291870117e-05
33,8.0,0.0,0,8.0,1.0,0.0002,3.000000000000007,0.00016384197473526,6.333677291870117e-05
34,8.25,0.0,0,8.25,1.0,0.0002,2.999999999999999,0.00016384197473526,6.333677291870117e-05
35,8.5,0.0,0,8.5,1.0,0.0002,3.0,0.00016384197473526,6.333677291870117e-05
36,8.75,0.0,0,8.75,1.0,0.0002,3.0,0.00016384197473526,6.333677291870117e-05
37,9.0,0.0,0,9.0,1.0,0.0002,3.0,0.00016384197473526,6.333677291870117e-05
38,9.25,0.0,0,9.25,1.0,0.0002,3.0,0.00016384197473526,6.333677291870117e-05
39,9.5,0.0,0,9.5,1.0,0.0002,3.0,0.00016384197473526,6.333677291870117e-05
40,9.75,0.0,0,9.75,1.0,0.0002,3.0,0.00016384197473526,6.333677291870117e-05
41,10.0,0.0,0,10.0,1.0,0.0002,3.0,0.00016384197473526,6.333677291870117e-05
