idx,x,y,line,s_mm,pmod,sigma,vel,w,d,asym,pinned
2,0.25,0.0,0,0.25,1.286545438526828,0.00016301465407388626,1.8660646438615829,0.0001645243048667908,6.333934783935545e-05,2.3841857904171454e-11,
3,0.5,0.0,0,0.5,1.3964792026263046,0.00023375782318911306,8.0,0.0001638574481010437,6.99455451965332e-05,2.3841857904171454e-11,Vhi
4,0.75,0.0,0,0.75,1.3964792026263046,0.00023375782318911306,8.0,0.00016374758481979372,7.609325408935546e-05,2.3841857958381563e-11,Vhi
5,1.0,0.0,0,1.0,1.3964792026263046,0.00023375782318911306,8.0,0.00016374903917312623,8.097902297973632e-05,-2.3841857904171454e-11,Vhi
6,1.25,0.0,0,1.25,1.3964792026263046,0.00023375782318911306,8.0,0.00016374903917312623,8.488637924194335e-05,-2.3841857904171454e-11,Vhi
7,1.5,0.0,0,1.5,1.3964792026263046,0.00023375782318911306,8.0,0.00016374903917312623,8.813591003417967e-05,-2.3841857904171454e-11,Vhi
8,1.75,0.0,0,1.75,1.3964792026263046,0.00023375782318911306,8.0,0.00016374903917312623,9.06614875793457e-05,-2.3841857904171454e-11,Vhi
9,2.0,0.0,0,2.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016393407583236696,9.308801651000976e-05,2.384185801259167e-11,Vhi
10,2.25,0.0,0,2.25,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,9.493396759033203e-05,-2.3841857904171454e-11,Vhi
11,2.5,0.0,0,2.5,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,9.641616821289063e-05,-2.3841857904171454e-11,Vhi
12,2.75,0.0,0,2.75,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,8.13168144226074e-05,-2.3841857904171454e-11,Vhi
13,3.0,0.0,0,3.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
14,3.25,0.0,0,3.25,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
15,3.5,0.0,0,3.5,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
16,3.75,0.0,0,3.75,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
17,4.0,0.0,0,4.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
18,4.25,0.0,0,4.25,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
19,4.5,0.0,0,4.5,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
20,4.75,0.0,0,4.75,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
21,5.0,0.0,0,5.0,1.3979191486209543,0.00023414023214268564,8.0,0.00016395689249038695,3.309577941894531e-05,-2.3841857904171454e-11,Vhi
