,d0_um,lag0,lag1,lag2,lag3,lag4,lag5,lag6
seg0 @0.25mm,3.9213e+01,-8.5615e+00,,,,,,
seg1 @0.50mm,5.4049e+01,-3.8184e+00,-8.3154e+00,,,,,
seg2 @0.75mm,6.0635e+01,-1.3080e+00,-4.2837e+00,-8.6912e+00,,,,
seg3 @1.00mm,6.3049e+01,-4.3010e-01,-6.1323e-01,-9.8713e+00,-4.6448e+00,,,
seg4 @1.25mm,6.3337e+01,9.4293e-02,8.6218e-02,-4.6853e+00,-1.1180e+01,-4.6006e-01,,
seg5 @1.50mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7006e-04,
seg6 @1.75mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg7 @2.00mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg8 @2.25mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg9 @2.50mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg10 @2.75mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg11 @3.00mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg12 @3.25mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg13 @3.50mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg14 @3.75mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg15 @4.00mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg16 @4.25mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg17 @4.50mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg18 @4.75mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg19 @5.00mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg20 @5.25mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg21 @5.50mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg22 @5.75mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg23 @6.00mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg24 @6.25mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg25 @6.50mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg26 @6.75mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg27 @7.00mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg28 @7.25mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg29 @7.50mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg30 @7.75mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg31 @8.00mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg32 @8.25mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg33 @8.50mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg34 @8.75mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg35 @9.00mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
seg36 @9.25mm,6.3337e+01,9.4114e-02,8.6040e-02,-4.6854e+00,-1.1180e+01,-4.6023e-01,-2.7007e-04,-4.1852e-09
