idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
2,5.0,0.0,0,5.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
3,10.0,0.0,0,10.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
5,5.0,0.1,1,15.0,1.0,0.0002,0.00017209553718566892,7.370000839233398e-05,4.703617095947257e-06,
6,0.0,0.1,1,20.0,1.0,0.0002,0.00016719374656677254,6.909784317016602e-05,1.146221160888694e-06,
8,5.0,0.2,2,25.0,1.0,0.0002,0.00017635397911071782,7.933244705200194e-05,-7.383441925048768e-06,
9,10.0,0.2,2,30.0,1.0,0.0002,0.0001698733806610107,7.404762268066405e-05,-2.76136398315416e-06,
11,5.0,0.3,3,35.0,1.0,0.0002,0.00017909259796142576,8.346210479736327e-05,9.209251403808618e-06,
12,0.0,0.3,3,40.0,1.0,0.0002,0.00017125329971313474,7.704103469848632e-05,3.475570678710847e-06,
14,5.0,0.4,4,45.0,1.0,0.0002,0.00018100876808166508,8.644672393798828e-05,-1.0525226593017514e-05,
15,10.0,0.4,4,50.0,1.0,0.0002,0.00017238893508911138,7.956003189086913e-05,-4.206275939941341e-06,
17,5.0,0.5,5,55.0,1.0,0.0002,0.00018243041038513183,8.881019592285155e-05,1.15258216857911e-05,
18,0.0,0.5,5,60.0,1.0,0.0002,0.0001731418132781983,8.139625549316405e-05,4.644298553466717e-06,
20,5.0,0.6,6,65.0,1.0,0.0002,0.00018351902961730952,9.065897941589355e-05,-1.2302303314208878e-05,
21,10.0,0.6,6,70.0,1.0,0.0002,0.00017376708984374997,8.294088363647461e-05,-5.057716369628916e-06,
23,5.0,0.7,7,75.0,1.0,0.0002,0.00018437404632568358,9.21859836578369e-05,1.2920951843261577e-05,
24,0.0,0.7,7,80.0,1.0,0.0002,0.00017422981262207025,8.412931442260742e-05,5.341529846191514e-06,
26,5.0,0.8,8,85.0,1.0,0.0002,0.00018505678176879885,9.342038154602051e-05,-1.3420295715332094e-05,
27,10.0,0.8,8,90.0,1.0,0.0002,0.00017461509704589848,8.514392852783202e-05,-5.599975585937568e-06,
29,5.0,0.9,9,95.0,1.0,0.0002,0.0001856108665466309,9.443543434143066e-05,1.3827133178711008e-05,
30,0.0,0.9,9,100.0,1.0,0.0002,0.00017491793632507316,8.596462249755858e-05,5.791950225830095e-06,
32,5.0,1.0,10,105.0,1.0,0.0002,0.00018606524467468255,9.528769493103025e-05,-1.416349411010741e-05,
33,10.0,1.0,10,110.0,1.0,0.0002,0.00017517042160034176,8.666666030883788e-05,-5.963706970214897e-06,
35,5.0,1.1,11,115.0,1.0,0.0002,0.00018644099235534662,9.600338935852049e-05,1.4443111419677789e-05,
36,0.0,1.1,11,120.0,1.0,0.0002,0.00017537674903869629,8.72403335571289e-05,6.098079681396635e-06,
38,5.0,1.2,12,125.0,1.0,0.0002,0.00018675389289855957,9.661455154418944e-05,-1.4676380157470532e-05,
39,10.0,1.2,12,130.0,1.0,0.0002,0.0001755496025085449,8.772050857543945e-05,-6.215095520019365e-06,
