idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
2,5.0,0.0,0,5.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
3,10.0,0.0,0,10.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
5,5.0,0.1,1,15.0,1.0,0.0002,0.00017350473403930655,7.64258575439453e-05,6.624794006347646e-06,
6,0.0,0.1,1,20.0,1.0,0.0002,0.0001675803661346435,6.984794616699219e-05,1.430225372314308e-06,
8,5.0,0.2,2,25.0,1.0,0.0002,0.00017852125167846676,8.361026763916015e-05,-1.0468101501464808e-05,
9,10.0,0.2,2,30.0,1.0,0.0002,0.00017152581214904784,7.591228485107421e-05,-4.215335845947311e-06,
11,5.0,0.3,3,35.0,1.0,0.0002,0.0001817273616790771,8.898185729980468e-05,1.309347152709953e-05,
12,0.0,0.3,3,40.0,1.0,0.0002,0.00017311787605285643,7.950765609741211e-05,5.1981925964356395e-06,
14,5.0,0.4,4,45.0,1.0,0.0002,0.00018393898010253909,9.280023574829101e-05,-1.4962959289550881e-05,
15,10.0,0.4,4,50.0,1.0,0.0002,0.000174684190750122,8.257726669311523e-05,-6.423473358154299e-06,
17,5.0,0.5,5,55.0,1.0,0.0002,0.00018555192947387693,9.58042049407959e-05,1.636543273925801e-05,
18,0.0,0.5,5,60.0,1.0,0.0002,0.00017554025650024408,8.476423263549803e-05,7.028007507324258e-06,
20,5.0,0.6,6,65.0,1.0,0.0002,0.0001867612838745117,9.83360195159912e-05,-1.7432022094726607e-05,
21,10.0,0.6,6,70.0,1.0,0.0002,0.0001763508319854737,8.659528732299804e-05,-7.68823623657224e-06,
23,5.0,0.7,7,75.0,1.0,0.0002,0.0001876931190490723,0.00010078746795654295,1.826667785644531e-05,
24,0.0,0.7,7,80.0,1.0,0.0002,0.00017685933113098138,8.799945831298826e-05,8.070087432861294e-06,
26,5.0,0.8,8,85.0,1.0,0.0002,0.00018842039108276363,0.0001027513313293457,-1.892528533935559e-05,
27,10.0,0.8,8,90.0,1.0,0.0002,0.00017732863426208494,8.914960861206055e-05,-8.460903167724701e-06,
29,5.0,0.9,9,95.0,1.0,0.0002,0.00018899741172790534,0.00010435584068298339,1.9450092315673835e-05,
30,0.0,0.9,9,100.0,1.0,0.0002,0.00017764863967895507,9.006316184997557e-05,8.710861206054701e-06,
32,5.0,1.0,10,105.0,1.0,0.0002,0.0001894585609436035,0.00010566941261291502,-1.9872665405273405e-05,
33,10.0,1.0,10,110.0,1.0,0.0002,0.00017793960571289055,9.082983016967772e-05,-8.955192565918016e-06,
35,5.0,1.1,11,115.0,1.0,0.0002,0.00018983221054077147,0.00010674033164978025,2.0217704772949093e-05,
36,0.0,1.1,11,120.0,1.0,0.0002,0.0001781480789184571,9.144917488098143e-05,9.121322631835916e-06,
38,5.0,1.2,12,125.0,1.0,0.0002,0.00019051303863525386,0.00010763887405395507,-2.1251487731933742e-05,
39,10.0,1.2,12,130.0,1.0,0.0002,0.0001783362865447998,9.19546318054199e-05,-9.28106307983398e-06,
