idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
2,5.0,0.0,0,5.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
3,10.0,0.0,0,10.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
5,5.0,0.1,1,15.0,0.8270341012276383,0.00020346275650942735,0.0001641539096832275,6.333806991577146e-05,5.4646492004394465e-06,
6,0.0,0.1,1,20.0,0.9004441286946575,0.00020294575946224554,0.00016301159858703607,6.330097198486328e-05,1.2375831604004642e-06,
8,5.0,0.2,2,25.0,0.7628221505307012,0.0002024192648636966,0.0001631228446960449,6.342529296874999e-05,-8.371925354003782e-06,
9,10.0,0.2,2,30.0,0.8474330354382824,0.00020591320760805686,0.0001634431838989258,6.331512451171874e-05,-2.873611450195405e-06,
11,5.0,0.3,3,35.0,0.7358074439494644,0.00020294888202997805,0.00016356487274169916,6.339427947998046e-05,1.0018539428710994e-05,
12,0.0,0.3,3,40.0,0.8252549085455573,0.00020738237879034784,0.00016370115280151367,6.338727951049803e-05,3.4656524658203264e-06,
14,5.0,0.4,4,45.0,0.7162073729715093,0.00020306228702259772,0.00016362075805664063,6.341159820556639e-05,-1.1215782165527408e-05,
15,10.0,0.4,4,50.0,0.8083694959784153,0.00020825805865314133,0.0001637203216552734,6.337425231933594e-05,-4.070281982421903e-06,
17,5.0,0.5,5,55.0,0.703742024373057,0.00020314879409874878,0.00016370105743408205,6.334163665771484e-05,1.2044906616211042e-05,
18,0.0,0.5,5,60.0,0.7975608779334563,0.00020891309966813976,0.00016376910209655758,6.335790634155272e-05,4.403018951416003e-06,
20,5.0,0.6,6,65.0,0.6942624877171457,0.00020319165893707198,0.00016373138427734375,6.334386825561521e-05,-1.2684822082519465e-05,
21,10.0,0.6,6,70.0,0.7975608779334563,0.00020891309966813976,0.00016414532661437984,6.391504287719726e-05,-4.671382904052794e-06,
23,5.0,0.7,7,75.0,0.6942624877171457,0.00020319165893707198,0.00016435661315917962,6.388162612915038e-05,1.3108444213867252e-05,
24,0.0,0.7,7,80.0,0.7838617912588395,0.00020956309420759253,0.00016373596191406243,6.334428787231446e-05,4.906654357910139e-06,
26,5.0,0.8,8,85.0,0.6820521522619332,0.00020296648009247566,0.00016367945671081545,6.333974838256836e-05,-1.3580036163329942e-05,
27,10.0,0.8,8,90.0,0.7838617912588395,0.00020956309420759253,0.00016400094032287596,6.374641418457029e-05,-5.084323883056694e-06,
29,5.0,0.9,9,95.0,0.6820521522619332,0.00020296648009247566,0.00016405954360961916,6.373178482055664e-05,1.3841819763183664e-05,
30,0.0,0.9,9,100.0,0.7838617912588395,0.00020956309420759253,0.00016412644386291496,6.391464233398435e-05,5.170726776123095e-06,
32,5.0,1.0,10,105.0,0.6820521522619332,0.00020296648009247566,0.0001643698692321778,6.395029067993163e-05,-1.40554428100586e-05,
33,10.0,1.0,10,110.0,0.7727633884457363,0.00021015890287794952,0.00016375775337219237,6.334445953369141e-05,-5.346202850341816e-06,
35,5.0,1.1,11,115.0,0.6717300453605313,0.0002029365649377536,0.0001637121200561524,6.334276199340818e-05,1.4358520507812538e-05,
