idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
2,5.0,0.0,0,5.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
3,10.0,0.0,0,10.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
5,5.0,0.1,1,15.0,0.79079418538208,0.00020508214052965883,0.00016428070068359366,6.331544876098631e-05,8.000183105468699e-06,
6,0.0,0.1,1,20.0,0.8910394230252966,0.0002030403202507951,0.0001628872394561767,6.349567413330078e-05,1.5570640563965926e-06,
8,5.0,0.2,2,25.0,0.7154743691664882,0.00020402732448886974,0.00016296105384826665,6.326358795166016e-05,-1.2395000457763716e-05,
9,10.0,0.2,2,30.0,0.8255541591530026,0.00020516068790754985,0.00016324949264526364,6.346237182617187e-05,-4.487037658691337e-06,
11,5.0,0.3,3,35.0,0.6921798159757065,0.00020428092033364503,0.00016357936859130858,6.337741851806641e-05,1.461906433105481e-05,
12,0.0,0.3,3,40.0,0.8010847870385855,0.000207365711569329,0.00016369910240173337,6.339372634887695e-05,5.228328704834102e-06,
14,5.0,0.4,4,45.0,0.6723523606884849,0.00020430918250913306,0.00016360135078430176,6.338230133056639e-05,-1.627359390258794e-05,
15,10.0,0.4,4,50.0,0.7825054179847036,0.00020789118482327938,0.00016367826461791992,6.339969635009765e-05,-6.244468688964893e-06,
17,5.0,0.5,5,55.0,0.6616513822195457,0.0002042445889262405,0.00016370778083801265,6.334064483642577e-05,1.7344570159912205e-05,
18,0.0,0.5,5,60.0,0.7719612727851008,0.00020869750120678374,0.0001637738227844238,6.338520050048826e-05,6.6413879394530695e-06,
20,5.0,0.6,6,65.0,0.6527611366526509,0.00020424567994236997,0.00016373033523559575,6.334075927734374e-05,-1.8177223205566306e-05,
21,10.0,0.6,6,70.0,0.7719612727851008,0.00020869750120678374,0.00016424417495727536,6.392217636108397e-05,-7.058906555175654e-06,
23,5.0,0.7,7,75.0,0.6527611366526509,0.00020424567994236997,0.00016434946060180664,6.384067535400391e-05,1.869564056396493e-05,
24,0.0,0.7,7,80.0,0.7583361435397546,0.00020922490273617573,0.0001637229919433593,6.336771011352537e-05,7.344245910644552e-06,
26,5.0,0.8,8,85.0,0.6424540577288467,0.0002039269431923212,0.0001636940956115723,6.334087371826172e-05,-1.9268417358398512e-05,
27,10.0,0.8,8,90.0,0.7583361435397546,0.00020922490273617573,0.0001640324592590332,6.373680114746093e-05,-7.603073120117073e-06,
29,5.0,0.9,9,95.0,0.6424540577288467,0.0002039269431923212,0.00016404981613159177,6.369466781616209e-05,1.9573783874511684e-05,
30,0.0,0.9,9,100.0,0.7583361435397546,0.00020922490273617573,0.00016411986351013179,6.38804244995117e-05,7.681941986084021e-06,
32,5.0,1.0,10,105.0,0.6424540577288467,0.0002039269431923212,0.0001643277168273926,6.387584686279297e-05,-1.981334686279308e-05,
33,10.0,1.0,10,110.0,0.7480195310846378,0.00020971876863038537,0.0001637553215026855,6.335279464721679e-05,-7.922363281249968e-06,
35,5.0,1.1,11,115.0,0.6424540577288467,0.0002039269431923212,0.00016448578834533684,6.393632888793943e-05,1.995820999145504e-05,
