Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Vel/Time
1	0.000000	0.000000	0	0	0
0	10.000000	0.000000	0	1	3.0
1	9.942265	0.100000	0	0	0.00167188
0	0.057735	0.100000	0	1	3.0
1	0.115470	0.200000	0	0	0.00167188
0	9.884530	0.200000	0	1	3.0
1	9.826795	0.300000	0	0	0.00167188
0	0.173205	0.300000	0	1	3.0
1	0.230940	0.400000	0	0	0.00167188
0	9.769060	0.400000	0	1	3.0
1	9.711325	0.500000	0	0	0.00167188
0	0.288675	0.500000	0	1	3.0
1	0.346410	0.600000	0	0	0.00167188
0	9.653590	0.600000	0	1	3.0
1	9.595855	0.700000	0	0	0.00167188
0	0.404145	0.700000	0	1	3.0
1	0.461880	0.800000	0	0	0.00167188
0	9.538120	0.800000	0	1	3.0
1	9.480385	0.900000	0	0	0.00167188
0	0.519615	0.900000	0	1	3.0
1	0.577350	1.000000	0	0	0.00167188
0	9.422650	1.000000	0	1	3.0
1	9.364915	1.100000	0	0	0.00167188
0	0.635085	1.100000	0	1	3.0
1	0.692820	1.200000	0	0	0.00167188
0	9.307180	1.200000	0	1	3.0
1	9.249445	1.300000	0	0	0.00167188
0	0.750555	1.300000	0	1	3.0
1	0.808290	1.400000	0	0	0.00167188
0	9.191710	1.400000	0	1	3.0
1	9.133975	1.500000	0	0	0.00167188
0	0.866025	1.500000	0	1	3.0
1	0.923760	1.600000	0	0	0.00167188
0	9.076240	1.600000	0	1	3.0
1	9.018505	1.700000	0	0	0.00167188
0	0.981495	1.700000	0	1	3.0
1	1.039230	1.800000	0	0	0.00167188
0	8.960770	1.800000	0	1	3.0
1	8.903034	1.900000	0	0	0.00167188
0	1.096966	1.900000	0	1	3.0
1	1.154701	2.000000	0	0	0.00167188
0	8.845299	2.000000	0	1	3.0
1	8.787564	2.100000	0	0	0.00167188
0	1.212436	2.100000	0	1	3.0
1	1.270171	2.200000	0	0	0.00167188
0	8.729829	2.200000	0	1	3.0
1	8.672094	2.300000	0	0	0.00167188
0	1.327906	2.300000	0	1	3.0
1	1.385641	2.400000	0	0	0.00167188
0	8.614359	2.400000	0	1	3.0
1	8.556624	2.500000	0	0	0.00167188
0	1.443376	2.500000	0	1	3.0
1	1.501111	2.600000	0	0	0.00167188
0	8.498889	2.600000	0	1	3.0
1	8.441154	2.700000	0	0	0.00167188
0	1.558846	2.700000	0	1	3.0
1	1.616581	2.800000	0	0	0.00167188
0	8.383419	2.800000	0	1	3.0
1	8.325684	2.900000	0	0	0.00167188
0	1.674316	2.900000	0	1	3.0
1	1.732051	3.000000	0	0	0.00167188
0	8.267949	3.000000	0	1	3.0
1	8.210214	3.100000	0	0	0.00167188
0	1.789786	3.100000	0	1	3.0
1	1.847521	3.200000	0	0	0.00167188
0	8.152479	3.200000	0	1	3.0
1	8.094744	3.300000	0	0	0.00167188
0	1.905256	3.300000	0	1	3.0
1	1.962991	3.400000	0	0	0.00167188
0	8.037009	3.400000	0	1	3.0
1	7.979274	3.500000	0	0	0.00167188
0	2.020726	3.500000	0	1	3.0
1	2.078461	3.600000	0	0	0.00167188
0	7.921539	3.600000	0	1	3.0
1	7.863804	3.700000	0	0	0.00167188
0	2.136196	3.700000	0	1	3.0
1	2.193931	3.800000	0	0	0.00167188
0	7.806069	3.800000	0	1	3.0
1	7.748334	3.900000	0	0	0.00167188
0	2.251666	3.900000	0	1	3.0
1	2.309401	4.000000	0	0	0.00167188
0	7.690599	4.000000	0	1	3.0
1	7.632864	4.100000	0	0	0.00167188
0	2.367136	4.100000	0	1	3.0
1	2.424871	4.200000	0	0	0.00167188
0	7.575129	4.200000	0	1	3.0
1	7.517394	4.300000	0	0	0.00167188
0	2.482606	4.300000	0	1	3.0
1	2.540341	4.400000	0	0	0.00167188
0	7.459659	4.400000	0	1	3.0
1	7.401924	4.500000	0	0	0.00167188
0	2.598076	4.500000	0	1	3.0
1	2.655811	4.600000	0	0	0.00167188
0	7.344189	4.600000	0	1	3.0
1	7.286454	4.700000	0	0	0.00167188
0	2.713546	4.700000	0	1	3.0
1	2.771281	4.800000	0	0	0.00167188
0	7.228719	4.800000	0	1	3.0
1	7.170984	4.900000	0	0	0.00167188
0	2.829016	4.900000	0	1	3.0
1	2.886751	5.000000	0	0	0.00167188
0	7.113249	5.000000	0	1	3.0
1	7.055514	5.100000	0	0	0.00167188
0	2.944486	5.100000	0	1	3.0
1	3.002221	5.200000	0	0	0.00167188
0	6.997779	5.200000	0	1	3.0
1	6.940044	5.300000	0	0	0.00167188
0	3.059956	5.300000	0	1	3.0
1	3.117691	5.400000	0	0	0.00167188
0	6.882309	5.400000	0	1	3.0
1	6.824574	5.500000	0	0	0.00167188
0	3.175426	5.500000	0	1	3.0
1	3.233162	5.600000	0	0	0.00167188
0	6.766838	5.600000	0	1	3.0
1	6.709103	5.700000	0	0	0.00167188
0	3.290897	5.700000	0	1	3.0
1	3.348632	5.800000	0	0	0.00167188
0	6.651368	5.800000	0	1	3.0
1	6.593633	5.900000	0	0	0.00167188
0	3.406367	5.900000	0	1	3.0
1	3.464102	6.000000	0	0	0.00167188
0	6.535898	6.000000	0	1	3.0
1	6.478163	6.100000	0	0	0.00167188
0	3.521837	6.100000	0	1	3.0
1	3.579572	6.200000	0	0	0.00167188
0	6.420428	6.200000	0	1	3.0
1	6.362693	6.300000	0	0	0.00167188
0	3.637307	6.300000	0	1	3.0
1	3.695042	6.400000	0	0	0.00167188
0	6.304958	6.400000	0	1	3.0
1	6.247223	6.500000	0	0	0.00167188
0	3.752777	6.500000	0	1	3.0
1	3.810512	6.600000	0	0	0.00167188
0	6.189488	6.600000	0	1	3.0
1	6.131753	6.700000	0	0	0.00167188
0	3.868247	6.700000	0	1	3.0
1	3.925982	6.800000	0	0	0.00167188
0	6.074018	6.800000	0	1	3.0
1	6.016283	6.900000	0	0	0.00167188
0	3.983717	6.900000	0	1	3.0
1	4.041452	7.000000	0	0	0.00167188
0	5.958548	7.000000	0	1	3.0
1	5.900813	7.100000	0	0	0.00167188
0	4.099187	7.100000	0	1	3.0
1	4.156922	7.200000	0	0	0.00167188
0	5.843078	7.200000	0	1	3.0
1	5.785343	7.300000	0	0	0.00167188
0	4.214657	7.300000	0	1	3.0
1	4.272392	7.400000	0	0	0.00167188
0	5.727608	7.400000	0	1	3.0
1	5.669873	7.500000	0	0	0.00167188
0	4.330127	7.500000	0	1	3.0
1	4.387862	7.600000	0	0	0.00167188
0	5.612138	7.600000	0	1	3.0
1	5.554403	7.700000	0	0	0.00167188
0	4.445597	7.700000	0	1	3.0
1	4.503332	7.800000	0	0	0.00167188
0	5.496668	7.800000	0	1	3.0
1	5.438933	7.900000	0	0	0.00167188
0	4.561067	7.900000	0	1	3.0
1	4.618802	8.000000	0	0	0.00167188
0	5.381198	8.000000	0	1	3.0
1	5.323463	8.100000	0	0	0.00167188
0	4.676537	8.100000	0	1	3.0
1	4.734272	8.200000	0	0	0.00167188
0	5.265728	8.200000	0	1	3.0
1	5.207993	8.300000	0	0	0.00167188
0	4.792007	8.300000	0	1	3.0
1	4.849742	8.400000	0	0	0.00167188
0	5.150258	8.400000	0	1	3.0
1	5.092523	8.500000	0	0	0.00167188
0	4.907477	8.500000	0	1	3.0
1	4.965212	8.600000	0	0	0.00167188
0	5.034788	8.600000	0	1	3.0
