idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
2,5.0,0.0,0,5.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
3,10.0,0.0,0,10.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
5,4.942265000000001,0.1,1,15.0,1.0,0.0002,0.00017114496231079098,7.207344055175781e-05,3.604316711425682e-06,
6,0.057735,0.1,1,19.88453,1.0,0.0002,0.00016725606918334976,6.860895156860351e-05,1.0755538940431658e-06,
8,5.11547,0.2,2,24.88453,1.0,0.0002,0.0001749335289001465,7.681680679321289e-05,-5.671882629394113e-06,
9,9.88453,0.2,2,29.65359,1.0,0.0002,0.00017007913589477531,7.29634666442871e-05,-2.5648117065427307e-06,
11,4.826795000000001,0.3,3,34.65359,1.0,0.0002,0.00017739553451538085,8.025787353515624e-05,7.097053527832086e-06,
12,0.173205,0.3,3,39.30718,1.0,0.0002,0.00017166585922241207,7.568473815917968e-05,3.3212661743166685e-06,
14,5.23094,0.4,4,44.30718,1.0,0.0002,0.00017916393280029293,8.28302001953125e-05,-8.169937133789117e-06,
15,9.76906,0.4,4,48.8453,1.0,0.0002,0.00017304286956787104,7.803070068359373e-05,-4.1172027587890216e-06,
17,4.711325,0.5,5,53.8453,1.0,0.0002,0.00018050460815429684,8.488391876220703e-05,9.009933471679655e-06,
18,0.288675,0.5,5,58.26795,1.0,0.0002,0.00017402582168579098,7.980335235595703e-05,4.658317565918273e-06,
20,5.34641,0.6,6,63.26795,1.0,0.0002,0.00018156394958496083,8.656009674072265e-05,-9.701538085937333e-06,
21,9.65359,0.6,6,67.57513,1.0,0.0002,0.00017489156723022453,8.136934280395506e-05,-5.194664001464955e-06,
23,4.595855,0.7,7,72.57513,1.0,0.0002,0.0001824185371398924,8.795866012573241e-05,1.027584075927743e-05,
24,0.404145,0.7,7,76.76684,1.0,0.0002,0.00017557678222656237,8.264677047729491e-05,5.611038208007922e-06,
26,5.46188,0.8,8,81.76684,1.0,0.0002,0.00018312635421752926,8.913082122802735e-05,-1.0768318176269161e-05,
27,9.53812,0.8,8,85.84308,1.0,0.0002,0.00017618637084960932,8.377634048461913e-05,-6.01234436035155e-06,
29,4.480385,0.9,9,90.84308,1.0,0.0002,0.0001837194442749024,9.013763427734374e-05,1.1195755004883134e-05,
30,0.519615,0.9,9,94.80385,1.0,0.0002,0.00017669763565063496,8.474426269531248e-05,6.348609924316552e-06,
32,5.57735,1.0,10,99.80385,1.0,0.0002,0.00018422422409057615,9.101376533508299e-05,-1.1573600769042985e-05,
33,9.42265,1.0,10,103.64914999999999,1.0,0.0002,0.0001771554946899416,8.56243324279785e-05,-6.670761108398381e-06,
35,4.364915,1.1,11,108.64914999999999,1.0,0.0002,0.0001846574783325196,9.177886962890625e-05,1.1907577514648753e-05,
36,0.635085,1.1,11,112.37897999999998,1.0,0.0002,0.00017755479812622084,8.640012741088866e-05,6.953620910644595e-06,
38,5.69282,1.2,12,117.37897999999998,1.0,0.0002,0.0001850344657897949,9.24490451812744e-05,-1.2212562561035242e-05,
