idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
2,5.0,0.0,0,5.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
3,10.0,0.0,0,10.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
5,4.942265000000001,0.1,1,15.0,1.0,0.0002,0.00017345886230468754,7.633136749267576e-05,6.556701660156202e-06,
6,0.057735,0.1,1,19.88453,1.0,0.0002,0.0001680235862731934,6.99034309387207e-05,1.6107559204104477e-06,
8,5.11547,0.2,2,24.88453,1.0,0.0002,0.000178513240814209,8.35516357421875e-05,-1.0460472106933304e-05,
9,9.88453,0.2,2,29.65359,1.0,0.0002,0.00017274856567382822,7.610904693603515e-05,-5.022430419921852e-06,
11,4.826795000000001,0.3,3,34.65359,1.0,0.0002,0.00018177261352539061,8.899600982666014e-05,1.3174438476562262e-05,
12,0.173205,0.3,3,39.30718,1.0,0.0002,0.00017486906051635757,7.993934631347655e-05,6.413078308105478e-06,
14,5.23094,0.4,4,44.30718,1.0,0.0002,0.00018407564163208006,9.295955657958983e-05,-1.5209007263183513e-05,
15,9.76906,0.4,4,48.8453,1.0,0.0002,0.00017699947357177745,8.329767227172852e-05,-8.186721801757557e-06,
17,4.711325,0.5,5,53.8453,1.0,0.0002,0.00018578147888183576,9.612723350524901e-05,1.678390502929698e-05,
18,0.288675,0.5,5,58.26795,1.0,0.0002,0.00017831754684448256,8.581438064575195e-05,9.232521057128944e-06,
20,5.34641,0.6,6,63.26795,1.0,0.0002,0.0001870985984802245,9.909952163696288e-05,-1.8061637878417827e-05,
21,9.65359,0.6,6,67.57513,1.0,0.0002,0.00017956838607788078,8.797481536865234e-05,-1.0375022888183504e-05,
23,4.595855,0.7,7,72.57513,1.0,0.0002,0.00018813514709472645,0.00010186098098754882,1.9110870361328282e-05,
24,0.404145,0.7,7,76.76684,1.0,0.0002,0.000180469512939453,8.973373413085936e-05,1.1183929443359629e-05,
26,5.46188,0.8,8,81.76684,1.0,0.0002,0.00018897247314453107,0.00010414116859436035,-2.000198364257794e-05,
27,9.53812,0.8,8,85.84308,1.0,0.0002,0.00018130025863647456,9.125971794128417e-05,-1.2010383605957128e-05,
29,4.480385,0.9,9,90.84308,1.0,0.0002,0.00018969526290893543,0.00010606355667114258,2.083835601806661e-05,
30,0.519615,0.9,9,94.80385,1.0,0.0002,0.0001819570541381837,9.256482124328613e-05,1.2667846679687792e-05,
32,5.57735,1.0,10,99.80385,1.0,0.0002,0.00019115209579467773,0.0001076982021331787,-2.3284721374511493e-05,
33,9.42265,1.0,10,103.64914999999999,1.0,0.0002,0.00018255653381347645,9.368152618408204e-05,-1.3316726684570353e-05,
35,4.364915,1.1,11,108.64914999999999,1.0,0.0002,0.0001924030303955078,0.00010908649444580078,2.5418090820312784e-05,
36,0.635085,1.1,11,112.37897999999998,1.0,0.0002,0.00018306083679199233,9.468511581420898e-05,1.3874053955078344e-05,
38,5.69282,1.2,12,117.37897999999998,1.0,0.0002,0.00019348945617675786,0.00011029234886169434,-2.730979919433581e-05,
