idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
2,5.0,0.0,0,5.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
3,10.0,0.0,0,10.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
5,4.942265000000001,0.1,1,15.0,0.8435609160516776,0.00020014321465265436,0.00016228427886962873,6.336736679077147e-05,4.135513305664196e-06,
6,0.057735,0.1,1,19.88453,0.9077416309210337,0.00020210752678182517,0.0001630837440490722,6.337299346923826e-05,1.1537551879883638e-06,
8,5.11547,0.2,2,24.88453,0.7920248462539727,0.00020231495057710421,0.00016338834762573244,6.331912994384764e-05,-6.20365142822276e-06,
9,9.88453,0.2,2,29.65359,0.8567170245783343,0.00020417942357910067,0.00016344738006591791,6.33454895019531e-05,-2.6672363281246385e-06,
11,4.826795000000001,0.3,3,34.65359,0.7667296011298933,0.00020239574284315327,0.00016357469558715828,6.341308593749999e-05,7.47127532959007e-06,
12,0.173205,0.3,3,39.30718,0.8322282280004315,0.00020523574764223253,0.00016366262435913077,6.341039657592771e-05,3.3445358276367777e-06,
14,5.23094,0.4,4,44.30718,0.7480116148453487,0.00020268367701316674,0.0001636505126953124,6.341186523437498e-05,-8.386611938476438e-06,
15,9.76906,0.4,4,48.8453,0.813510591680684,0.0002057680124286184,0.00016368627548217756,6.340858459472656e-05,-4.044914245605359e-06,
17,4.711325,0.5,5,53.8453,0.7356888924712102,0.00020273357983234476,0.0001637064933776855,6.334331512451171e-05,9.079551696777183e-06,
18,0.288675,0.5,5,58.26795,0.7995744015715989,0.00020631279114490225,0.00016373291015624983,6.33464241027832e-05,4.510498046875113e-06,
20,5.34641,0.6,6,63.26795,0.7356888924712102,0.00020273357983234476,0.00016441364288330082,6.390375137329101e-05,-9.533309936523432e-06,
21,9.65359,0.6,6,67.57513,0.78961967341789,0.0002065743330538186,0.00016375646591186522,6.33472442626953e-05,-4.947853088378522e-06,
23,4.595855,0.7,7,72.57513,0.7206893057871434,0.00020216581471351063,0.00016363334655761707,6.338283538818358e-05,1.01161956787112e-05,
24,0.404145,0.7,7,76.76684,0.78961967341789,0.0002065743330538186,0.00016430521011352533,6.395944595336914e-05,5.26561737060555e-06,
26,5.46188,0.8,8,81.76684,0.7206893057871434,0.00020216581471351063,0.00016403121948242185,6.369255065917967e-05,-1.0407638549804216e-05,
27,9.53812,0.8,8,85.84308,0.7750420459500476,0.0002067628449668995,0.0001637002944946289,6.338872909545897e-05,-5.605697631835653e-06,
29,4.480385,0.9,9,90.84308,0.7206893057871434,0.00020216581471351063,0.00016451139450073243,6.386493682861326e-05,1.0733985900878915e-05,
30,0.519615,0.9,9,94.80385,0.7750420459500476,0.0002067628449668995,0.00016414651870727526,6.38798713684082e-05,5.884361267089865e-06,
32,5.57735,1.0,10,99.80385,0.7082387019200289,0.00020179407068003855,0.0001636704444885253,6.334022521972655e-05,-1.112155914306627e-05,
33,9.42265,1.0,10,103.64914999999999,0.7637538197984243,0.0002070908666270815,0.00016374015808105465,6.338563919067381e-05,-6.1504364013672055e-06,
