idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
2,5.0,0.0,0,5.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
3,10.0,0.0,0,10.0,1.0,0.0002,0.00016384201049804686,6.333677291870117e-05,0.0,
5,4.942265000000001,0.1,1,15.0,0.792014084071148,0.0002050189134963593,0.0001642746925354004,6.331729888916016e-05,7.907676696777312e-06,
6,0.057735,0.1,1,19.88453,0.8879353231503889,0.00020241983272803853,0.00016284275054931634,6.34870147705078e-05,1.760482788085941e-06,
8,5.11547,0.2,2,24.88453,0.7179362327288477,0.00020451708018624014,0.0001629803657531737,6.326915740966795e-05,-1.2072944641113286e-05,
9,9.88453,0.2,2,29.65359,0.8178646957763456,0.00020344397305112674,0.00016316213607788085,6.345556259155271e-05,-5.4147720336909094e-06,
11,4.826795000000001,0.3,3,34.65359,0.6950384067946659,0.00020495094807947947,0.0001635912895202637,6.337316513061521e-05,1.4257621765136497e-05,
12,0.173205,0.3,3,39.30718,0.78975358729285,0.00020519554077768888,0.0001636354446411133,6.340600967407226e-05,6.553649902343601e-06,
14,5.23094,0.4,4,44.30718,0.6760279797985322,0.0002052554122191525,0.000163624668121338,6.335920333862304e-05,-1.5845298767089636e-05,
15,9.76906,0.4,4,48.8453,0.7671761358712987,0.0002053326047729349,0.00016360960006713866,6.333786010742187e-05,-8.101844787597456e-06,
17,4.711325,0.5,5,53.8453,0.6665059669137632,0.00020495683315629372,0.00016371231079101564,6.334135055541991e-05,1.699295043945323e-05,
18,0.288675,0.5,5,58.26795,0.7534116868181604,0.0002058516575290962,0.00016372127532958978,6.334516525268553e-05,8.89701843261731e-06,
20,5.34641,0.6,6,63.26795,0.6665059669137632,0.00020495683315629372,0.00016444864273071282,6.384885787963867e-05,-1.7733573913574028e-05,
21,9.65359,0.6,6,67.57513,0.7429774297326796,0.00020585370617309893,0.00016372785568237306,6.334400177001952e-05,-9.77916717529283e-06,
23,4.595855,0.7,7,72.57513,0.655145109373053,0.0002038479879379625,0.00016364669799804688,6.333568572998045e-05,1.869812011718805e-05,
24,0.404145,0.7,7,76.76684,0.7335843243276474,0.000206094942809779,0.00016375055313110347,6.334480285644532e-05,1.0414314270019553e-05,
26,5.46188,0.8,8,81.76684,0.655145109373053,0.0002038479879379625,0.00016403417587280262,6.338130950927733e-05,-1.917705535888674e-05,
27,9.53812,0.8,8,85.84308,0.7335843243276474,0.000206094942809779,0.00016421852111816407,6.370746612548828e-05,-1.0937118530273196e-05,
29,4.480385,0.9,9,90.84308,0.655145109373053,0.0002038479879379625,0.00016449851989746092,6.335695266723631e-05,1.9691467285156382e-05,
30,0.519615,0.9,9,94.80385,0.721300764852492,0.00020608124530261478,0.00016370096206665043,6.334293365478514e-05,1.1518669128417897e-05,
32,5.57735,1.0,10,99.80385,0.655145109373053,0.0002038479879379625,0.0001648552894592285,6.340179443359374e-05,-2.0126533508300556e-05,
33,9.42265,1.0,10,103.64914999999999,0.721300764852492,0.00020608124530261478,0.00016410055160522474,6.368463516235351e-05,-1.1966896057128643e-05,
