Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Vel/Time
1	0.000000	0.000000	0	0	0
0	1.0	0.0	0	1.0	3.0	0.9999999999999999
0	2.0	0.0	0	1.0	3.0	0.9999999999999999
0	3.0	0.0	0	1.0	3.0	0.9999999999999999
0	4.0	0.0	0	1.0	3.0	0.9999999999999999
0	5.0	0.0	0	1.0	3.0	0.9999999999999999
0	6.0	0.0	0	1.0	3.0	0.9999999999999999
0	7.0	0.0	0	1.0	3.0	0.9999999999999999
0	8.0	0.0	0	1.0	3.0	0.9999999999999999
0	9.0	0.0	0	1.0	3.0	0.9999999999999999
0	10.0	0.0	0	1.0	3.0	0.9999999999999999
1	10.000000	0.100000	0	0	0.000585938
0	9.0	0.1	0	1.0	3.0	0.9999999999999999
0	8.0	0.1	0	1.0	3.0	0.9999999999999999
0	7.0	0.1	0	1.0	3.0	0.9999999999999999
0	6.0	0.1	0	1.0	3.0	0.9999999999999999
0	5.0	0.1	0	1.0	3.0	0.9999999999999999
0	4.0	0.1	0	1.0	3.0	0.9999999999999999
0	3.0	0.1	0	1.0	3.0	0.9999999999999999
0	2.0	0.1	0	1.0	3.0	0.9999999999999999
0	1.0	0.1	0	1.0	3.0	0.9999999999999999
0	0.0	0.1	0	1.0	3.0	0.9999999999999999
